Player,Span,Mat,Inns,NO,Runs,HS,Ave,BF,SR,100,50,0,4s,6s
,,,,,,,,,,,,,,
Anand Rajan,2011-2012,6,-,-,-,-,-,-,-,-,-,-,-,-
Anirudh Singh,2010-2010,5,4,0,63,40,15.75,66,95.45,0,0,1,6,1
Ankit Sharma,2012-2012,9,4,1,18,15,6.00,13,138.46,0,0,0,0,2
A Ashish Reddy,2012-2012,9,5,1,35,10*,8.75,29,120.68,0,0,0,3,1
SB Bangar,2008-2008,11,7,1,47,17*,7.83,49,95.91,0,0,1,1,3
AA Bilakhia,2009-2010,7,7,2,69,22,13.80,85,81.17,0,0,0,5,0
B Chipli,2011-2012,19,17,6,244,61*,22.18,205,119.02,0,1,0,24,6
DT Christian,2011-2012,21,20,4,335,39,20.93,277,120.93,0,0,1,17,13
H Das,2008-2008,1,1,0,2,2,2.00,5,40.00,0,0,0,0,0
KH Devdhar,2011-2011,1,-,-,-,-,-,-,-,-,-,-,-,-
S Dhawan,2011-2012,29,29,3,969,95*,37.26,749,129.37,0,7,0,105,25
JP Duminy,2011-2012,19,19,6,449,74,34.53,364,123.35,0,3,0,22,19
FH Edwards,2009-2009,6,2,1,4,3*,4.00,5,80.00,0,0,0,0,0
HH Gibbs,2008-2010,33,33,3,805,69*,26.83,719,111.96,0,5,4,75,29
AC Gilchrist,2008-2010,46,46,1,1220,109*,27.11,828,147.34,1,7,4,136,64
MS Gony,2011-2012,9,3,1,4,4,2.00,10,40.00,0,0,1,0,0
Harmeet Singh,2009-2011,17,3,1,0,0*,0.00,1,0.00,0,0,2,0,0
DJ Harris,2012-2012,4,4,0,111,47,27.75,101,109.90,0,0,0,11,5
RJ Harris,2009-2010,16,10,5,66,15,13.20,57,115.78,0,0,0,2,2
IR Jaggi,2011-2012,5,5,1,43,25,10.75,58,74.13,0,0,0,3,0
Jaskaran Singh,2009-2010,8,5,4,8,4*,8.00,11,72.72,0,0,0,0,0
AA Jhunjhunwala,2012-2012,5,3,1,24,19,12.00,26,92.30,0,0,0,1,1
D Kalyankrishna,2008-2008,3,1,0,3,3,3.00,8,37.50,0,0,0,0,0
VVS Laxman,2008-2010,17,17,2,238,52,15.86,225,105.77,0,1,3,30,3
MJ Lumb,2011-2011,1,1,0,0,0,0.00,2,0.00,0,0,1,0,0
CA Lynn,2012-2012,1,1,0,6,6,6.00,9,66.66,0,0,0,1,0
I Malhotra,2011-2011,1,1,1,7,7*,-,4,175.00,0,0,0,1,0
MR Marsh,2010-2010,3,2,0,28,15,14.00,30,93.33,0,0,0,1,1
A Mishra,2011-2012,28,14,7,84,25*,12.00,69,121.73,0,0,4,10,1
MD Mishra,2010-2010,11,11,0,166,41,15.09,144,115.27,0,0,1,18,6
T Mishra,2012-2012,1,-,-,-,-,-,-,-,-,-,-,-,-
PP Ojha,2008-2011,54,14,6,6,2,0.75,19,31.57,0,0,5,0,0
PA Patel,2012-2012,14,13,2,194,45,17.63,165,117.57,0,0,1,19,4
V Pratap Singh,2012-2012,9,1,0,0,0,0.00,1,0.00,0,0,1,0,0
DB Ravi Teja,2008-2012,30,23,5,361,60,20.05,300,120.33,0,1,1,35,9
PA Reddy,2012-2012,5,4,1,73,42,24.33,59,123.72,0,0,0,6,2
KAJ Roach,2010-2010,2,1,0,10,10,10.00,9,111.11,0,0,0,1,0
BB Samantray,2012-2012,1,1,1,2,2*,-,2,100.00,0,0,0,0,0
KC Sangakkara,2011-2012,25,25,1,558,82,23.25,477,116.98,0,2,2,65,9
PM Sarvesh Kumar,2008-2008,2,1,1,1,1*,-,2,50.00,0,0,0,0,0
Shahid Afridi,2008-2008,10,9,1,81,33,10.12,46,176.08,0,0,1,7,6
I Sharma,2011-2011,12,5,5,4,1*,-,5,80.00,0,0,0,0,0
R Sharma,2010-2010,6,4,1,29,14*,9.66,26,111.53,0,0,1,3,1
RG Sharma,2008-2010,45,44,6,1170,76*,30.78,890,131.46,0,8,2,96,51
Shoaib Ahmed,2009-2009,8,3,1,1,1*,0.50,6,16.66,0,0,2,0,0
LPC Silva,2008-2008,3,3,1,40,23*,20.00,26,153.84,0,0,1,5,1
RP Singh,2008-2010,42,20,10,44,10,4.40,60,73.33,0,0,2,2,1
DR Smith,2009-2010,11,11,1,237,49,23.70,157,150.95,0,0,0,13,16
S Sohal,2011-2011,11,10,0,249,62,24.90,191,130.36,0,2,1,25,10
DW Steyn,2011-2012,24,11,2,55,13,6.11,56,98.21,0,0,0,3,1
SB Styris,2008-2009,10,9,2,126,36*,18.00,131,96.18,0,0,0,9,3
TP Sudhindra,2012-2012,3,1,1,0,0*,-,0,-,0,0,0,0,0
TL Suman,2009-2010,26,26,7,544,78*,28.63,447,121.70,0,2,2,41,20
B Sumanth,2010-2010,5,4,3,35,16,35.00,37,94.59,0,0,0,3,0
A Symonds,2008-2010,28,27,4,839,117*,36.47,612,137.09,1,5,0,65,38
J Theron,2012-2012,2,1,1,7,7*,-,6,116.66,0,0,0,1,0
WPUJC Vaas,2008-2010,13,11,3,81,20,10.12,73,110.95,0,0,3,2,3
Y Venugopal Rao,2008-2010,33,28,5,446,71*,19.39,367,121.52,0,2,2,31,19
DP Vijaykumar,2008-2008,9,2,2,1,1*,-,1,100.00,0,0,0,0,0
CL White,2011-2012,19,19,4,583,78,38.86,429,135.89,0,5,1,47,22
AS Yadav,2008-2008,8,6,1,49,16,9.80,39,125.64,0,0,1,5,2
DNT Zoysa,2008-2008,3,2,1,11,10*,11.00,9,122.22,0,0,0,1,0
